,date,segment,Flesch-Kincaid Grade Level,Flesch-Kincaid Reading Ease,Gunning Fog Index,SMOG Index,Coleman-Liau Index,Automated Readability Index (ARI)
0,2011-04-27,opening_remark,13.2,40.38,12.49,15.6,12.71,14.5
1,2011-04-27,qa_pair1,9.9,65.15,12.36,11.7,9.41,12.3
2,2011-04-27,qa_pair2,11.4,55.68,13.22,13.6,10.51,13.8
3,2011-04-27,qa_pair3,9.7,60.24,11.29,12.3,9.17,10.6
4,2011-04-27,qa_pair4,8.8,67.99,11.03,10.8,8.47,10.5
5,2011-04-27,qa_pair5,8.2,69.52,9.79,10.4,8.59,9.7
6,2011-04-27,qa_pair6,7.9,70.23,10.05,10.8,8.41,9.6
7,2011-04-27,qa_pair7,12.6,52.53,13.99,14.1,10.45,15.1
8,2011-04-27,qa_pair8,13.0,51.62,14.7,14.0,10.04,15.3
9,2011-04-27,qa_pair9,4.4,79.26,6.56,8.8,8.03,5.9
10,2011-04-27,qa_pair10,12.1,53.95,14.08,13.6,9.12,13.3
11,2011-04-27,qa_pair11,9.8,60.04,11.78,12.7,9.28,10.6
12,2011-04-27,qa_pair12,9.5,65.96,11.64,12.1,9.52,12.4
13,2011-04-27,qa_pair13,10.9,57.1,12.56,13.0,9.7,12.2
14,2011-04-27,qa_pair14,7.9,75.74,11.01,10.4,7.37,10.0
15,2011-04-27,qa_pair15,8.2,69.52,10.59,10.8,9.52,10.6
16,2011-04-27,qa_pair16,10.1,64.44,12.71,12.3,9.41,12.6
17,2011-04-27,qa_pair17,9.9,59.53,11.8,13.1,9.75,11.3
18,2011-04-27,qa_pair18,15.2,40.42,17.21,16.8,11.04,17.0
19,2011-04-27,qa_pair19,13.0,56.93,15.95,13.8,9.88,16.2
20,2011-04-27,qa_pair20,9.4,66.27,11.72,11.8,8.88,11.6
21,2011-04-27,qa_pair21,8.8,67.89,10.57,12.0,8.24,10.1
22,2011-06-22,opening_remark,11.1,51.18,11.66,14.0,11.49,12.6
23,2011-06-22,qa_pair1,7.6,71.04,9.18,10.6,8.58,9.2
24,2011-06-22,qa_pair2,10.6,63.12,12.64,11.7,8.25,12.2
25,2011-06-22,qa_pair3,9.4,61.06,11.75,12.8,9.63,10.6
26,2011-06-22,qa_pair4,8.8,67.79,11.4,10.9,7.66,9.7
27,2011-06-22,qa_pair5,9.4,66.37,11.88,11.5,8.24,10.9
28,2011-06-22,qa_pair6,9.2,61.36,11.79,12.5,9.17,10.1
29,2011-06-22,qa_pair7,10.8,57.2,12.8,13.3,9.93,12.3
30,2011-06-22,qa_pair8,13.2,51.11,14.11,13.9,9.17,14.8
31,2011-06-22,qa_pair9,11.5,60.99,13.76,13.0,10.04,14.9
32,2011-06-22,qa_pair10,9.8,59.84,11.49,12.7,9.11,10.9
33,2011-06-22,qa_pair11,10.1,64.44,12.83,12.3,8.25,11.8
34,2011-06-22,qa_pair12,10.0,64.85,11.91,11.8,8.77,11.9
35,2011-06-22,qa_pair13,7.6,76.56,10.0,10.3,8.3,10.3
36,2011-06-22,qa_pair14,9.7,60.14,11.79,11.9,8.7,10.3
37,2011-06-22,qa_pair15,9.1,61.87,10.6,11.6,8.47,9.5
38,2011-06-22,qa_pair16,10.0,59.43,12.48,13.0,9.05,10.9
39,2011-06-22,qa_pair17,11.4,55.88,12.92,12.1,10.1,13.2
40,2011-11-02,opening_remark,12.5,42.21,11.83,14.8,12.65,13.8
41,2011-11-02,qa_pair1,10.8,57.2,12.74,13.3,9.06,11.7
42,2011-11-02,qa_pair2,11.5,55.58,13.56,13.6,9.46,12.8
43,2011-11-02,qa_pair3,9.3,61.16,10.84,12.5,9.11,10.0
44,2011-11-02,qa_pair4,8.8,67.79,11.35,11.2,10.27,11.9
45,2011-11-02,qa_pair5,9.6,55.13,10.53,12.3,10.96,10.6
46,2011-11-02,qa_pair6,7.0,72.66,9.75,10.7,8.29,8.4
47,2011-11-02,qa_pair7,9.5,60.75,10.65,12.0,8.36,9.6
48,2011-11-02,qa_pair8,12.1,53.95,15.19,14.4,10.33,14.5
49,2011-11-02,qa_pair9,11.6,60.69,14.35,14.3,9.0,14.0
50,2011-11-02,qa_pair10,12.8,52.02,15.51,15.0,9.0,14.0
51,2011-11-02,qa_pair11,8.9,67.69,11.1,10.6,8.24,10.2
52,2011-11-02,qa_pair12,8.1,69.62,11.22,12.0,8.18,9.3
53,2011-11-02,qa_pair13,10.8,62.82,13.99,13.0,8.71,12.9
54,2011-11-02,qa_pair14,9.3,66.67,12.03,12.7,8.12,10.6
55,2011-11-02,qa_pair15,10.2,64.24,12.5,12.8,9.29,12.5
56,2011-11-02,qa_pair16,10.7,57.71,12.81,13.6,9.86,12.4
57,2011-11-02,qa_pair17,10.7,57.71,12.18,13.0,8.88,11.5
58,2011-11-02,qa_pair18,13.5,50.2,14.95,14.8,11.15,16.6
59,2011-11-02,qa_pair19,12.0,54.26,14.51,14.4,11.61,15.2
60,2012-01-25,opening_remark,14.3,37.44,13.4,17.1,13.35,16.4
61,2012-01-25,qa_pair1,12.6,52.53,14.56,13.6,9.12,14.2
62,2012-01-25,qa_pair2,16.0,43.7,18.09,16.6,9.3,18.2
63,2012-01-25,qa_pair3,12.6,52.73,13.97,13.9,9.58,14.4
64,2012-01-25,qa_pair4,13.7,55.2,16.43,14.8,8.48,16.0
65,2012-01-25,qa_pair5,16.2,48.71,18.59,15.5,9.47,20.1
66,2012-01-25,qa_pair6,10.2,64.34,12.86,12.8,7.38,10.9
67,2012-01-25,qa_pair7,15.5,50.54,17.85,14.0,8.31,18.2
68,2012-01-25,qa_pair8,15.4,45.32,17.57,16.0,10.28,18.3
69,2012-01-25,qa_pair9,10.3,63.93,13.59,13.4,8.3,11.9
70,2012-01-25,qa_pair10,12.9,51.92,14.72,14.6,9.46,14.6
71,2012-01-25,qa_pair11,14.9,46.74,17.08,16.5,10.46,17.7
72,2012-01-25,qa_pair12,13.9,54.7,17.08,15.2,8.89,16.7
73,2012-01-25,qa_pair13,13.3,50.7,14.36,14.6,9.76,15.2
74,2012-01-25,qa_pair14,13.6,50.09,15.54,15.5,10.17,15.8
75,2012-01-25,qa_pair15,15.9,44.11,17.75,15.1,9.88,18.4
