,date,segment,emotion_roberta,emotion_gpt
0,2011-04-27,opening_remark,"{'neutral': 6, 'gratitude': 1}",Counter({'Neutral': 5})
1,2011-04-27,qa_pair1,{'curiosity': 1},Counter({'Pessimism': 1})
2,2011-04-27,qa_pair2,"{'curiosity': 1, 'neutral': 1}",Counter({'Uncertain': 1})
3,2011-04-27,qa_pair3,{'gratitude': 1},Counter({'Neutral': 1})
4,2011-04-27,qa_pair4,{'remorse': 1},Counter({'Pessimism': 1})
5,2011-04-27,qa_pair5,"{'curiosity': 1, 'neutral': 2}","Counter({'Pessimism': 1, 'Concerned': 1})"
6,2011-04-27,qa_pair6,{'optimism': 2},Counter({'Uncertain': 1})
7,2011-04-27,qa_pair7,"{'curiosity': 1, 'approval': 1}",Counter({'Concerned': 1})
8,2011-04-27,qa_pair8,{'neutral': 2},"Counter({'Uncertain': 1, 'Neutral': 1})"
9,2011-04-27,qa_pair9,{'neutral': 1},Counter({'Uncertain': 1})
10,2011-04-27,qa_pair10,{'neutral': 2},Counter({'Optimism': 1})
11,2011-04-27,qa_pair11,"{'curiosity': 1, 'neutral': 1}","Counter({'Pessimism': 1, 'Optimism': 1})"
12,2011-04-27,qa_pair12,{'curiosity': 1},Counter({'Uncertain': 1})
13,2011-04-27,qa_pair13,{'neutral': 2},Counter({'Pessimism': 1})
14,2011-04-27,qa_pair14,{'neutral': 1},Counter({'Optimism': 1})
15,2011-04-27,qa_pair15,"{'optimism': 1, 'neutral': 1}",Counter({'Concerned': 1})
16,2011-04-27,qa_pair16,{'neutral': 2},Counter({'Concerned': 1})
17,2011-04-27,qa_pair17,"{'gratitude': 1, 'optimism': 1}","Counter({'Pessimism': 1, 'Concerned': 1})"
18,2011-04-27,qa_pair18,{'neutral': 2},Counter({'Concerned': 1})
19,2011-04-27,qa_pair19,{'neutral': 1},Counter({'Concerned': 1})
20,2011-04-27,qa_pair20,"{'gratitude': 1, 'approval': 1}","Counter({'Concerned': 1, 'Neutral': 1})"
