,date,segment,topic,cluster
0,2011-04-27,opening_remark,Monetary policy decision,1
1,2011-04-27,qa_pair1,Monetary Policy & GDP,1
2,2011-04-27,qa_pair2,Monetary policy outlook,1
3,2011-04-27,qa_pair3,Effects of Fed policy on dollar.,1
4,2011-04-27,qa_pair4,Monetary policy and dollar value,1
5,2011-04-27,qa_pair5,Inflation and Gas Prices,4
6,2011-04-27,qa_pair6,Job Creation Recovery,3
7,2011-04-27,qa_pair7,Inflation expectations discussions,4
8,2011-04-27,qa_pair8,Monetary policy effects on economy.,1
9,2011-04-27,qa_pair9,Monetary policy outlook.,1
10,2011-04-27,qa_pair10,Monetary policy and unemployment.,4
11,2011-04-27,qa_pair11,Quantitative easing effects/outcomes,2
12,2011-04-27,qa_pair12,Inflation and oil prices.,4
13,2011-04-27,qa_pair13,Long term unemployment,5
14,2011-04-27,qa_pair14,Long-term unemployment.,5
15,2011-04-27,qa_pair15,Fiscal Crisis Discussion,0
16,2011-04-27,qa_pair16,Fiscal deficit discussion.,0
17,2011-04-27,qa_pair17,Global economic uncertainty,5
18,2011-04-27,qa_pair18,Monetary policy and inflation.,4
19,2011-04-27,qa_pair19,Monetary policy and dollar strength.,1
20,2011-04-27,qa_pair20,Federal Reserve Transparency,2
21,2011-04-27,qa_pair21,Monetary policymaking/slow recovery.,2
22,2011-06-22,opening_remark,Monetary policy projections,1
23,2011-06-22,qa_pair1,Monetary Policy Tools,1
24,2011-06-22,qa_pair2,Monetary policy and recovery,1
25,2011-06-22,qa_pair3,Discussion of Greek/European crisis.,6
26,2011-06-22,qa_pair4,Fiscal Policy Effects,0
27,2011-06-22,qa_pair5,Fiscal policy and job creation,3
28,2011-06-22,qa_pair6,Inflation targeting discussion.,4
29,2011-06-22,qa_pair7,Global economic impact of European debt.,0
30,2011-06-22,qa_pair8,Financial Crisis regulation,0
31,2011-06-22,qa_pair9,Inflation and unemployment tradeoff.,4
32,2011-06-22,qa_pair10,Extended low Fed rates,5
33,2011-06-22,qa_pair11,Monetary policy projection,1
34,2011-06-22,qa_pair12,Fiscal/economic policy discussion,0
35,2011-06-22,qa_pair13,Unemployment projections and growth,3
36,2011-06-22,qa_pair14,Monetary policy discussion.,1
37,2011-06-22,qa_pair15,Question of policy concerning deflation,5
38,2011-06-22,qa_pair16,Discussion of FOMC Exit Policies,6
39,2011-06-22,qa_pair17,Monetary policy and housing,1
40,2011-11-02,opening_remark,Monetary policy projection review,1
41,2011-11-02,qa_pair1,Fed independence and accountability.,6
42,2011-11-02,qa_pair2,Dual mandate approach,6
43,2011-11-02,qa_pair3,Income inequality discussion.,4
44,2011-11-02,qa_pair4,Monetary Policy and Rate Increase.,4
45,2011-11-02,qa_pair5,Mortgage-backed securities purchases.,0
46,2011-11-02,qa_pair6,Foreign investment in US Treasury securities.,0
47,2011-11-02,qa_pair7,Financial instability of MF Global,5
48,2011-11-02,qa_pair8,Monetary Policy Errors/Revisions,5
49,2011-11-02,qa_pair9,Monetary policy effectiveness,1
50,2011-11-02,qa_pair10,Main topic of discussion: Monetary policy tools,1
51,2011-11-02,qa_pair11,Monetary policy decision-making,1
52,2011-11-02,qa_pair12,Basel III regulation compliance.,6
53,2011-11-02,qa_pair13,Monetary policy tools.,1
54,2011-11-02,qa_pair14,Economic volatility and uncertainty.,5
55,2011-11-02,qa_pair15,Monetary policy communication,1
56,2011-11-02,qa_pair16,European debt crisis response,0
57,2011-11-02,qa_pair17,Monetary policy effects on investment returns.,1
58,2011-11-02,qa_pair18,Monetary policy & unemployment,4
59,2011-11-02,qa_pair19,Monetary policy outlook.,1
60,2012-01-25,opening_remark,Monetary policy transparency goals,2
61,2012-01-25,qa_pair1,Economic data strength.,3
62,2012-01-25,qa_pair2,Monetary policy and accommodative action,1
63,2012-01-25,qa_pair3,Monetary policy and inflation.,4
64,2012-01-25,qa_pair4,Monetary Forecasting and Interest Rates,1
65,2012-01-25,qa_pair5,Price Stability & Employment Symmetry,2
66,2012-01-25,qa_pair6,Price stability and employment.,3
67,2012-01-25,qa_pair7,Monetary Policy: Basel III surcharges,1
68,2012-01-25,qa_pair8,Monetary policy tightening/balance sheet expansion.,4
69,2012-01-25,qa_pair9,Monetary policy decisions.,1
70,2012-01-25,qa_pair10,Main topic: Housing crisis solutions.,6
71,2012-01-25,qa_pair11,Monetary policy expectations,1
72,2012-01-25,qa_pair12,Monetary Policy Actions,1
73,2012-01-25,qa_pair13,Dual mandate monetary policy,1
74,2012-01-25,qa_pair14,Monetary policy impacts.,1
75,2012-01-25,qa_pair15,Monetary policy and communications,1
