date,cpi
1/1/09,-0.11359
2/1/09,0.00846
3/1/09,-0.44648
4/1/09,-0.57632
5/1/09,-1.01576
6/1/09,-1.22917
7/1/09,-1.95876
8/1/09,-1.48384
9/1/09,-1.37794
10/1/09,-0.22397
11/1/09,1.91459
12/1/09,2.81412
1/1/10,2.62111
2/1/10,2.15134
3/1/10,2.28617
4/1/10,2.20677
5/1/10,2.00355
6/1/10,1.12156
7/1/10,1.34078
8/1/10,1.15018
9/1/10,1.11831
10/1/10,1.1667
11/1/10,1.08454
12/1/10,1.43779
1/1/11,1.70078
2/1/11,2.1249
3/1/11,2.61924
4/1/11,3.07723
5/1/11,3.45897
6/1/11,3.50232
7/1/11,3.57988
8/1/11,3.755
9/1/11,3.81262
10/1/11,3.52227
11/1/11,3.45143
12/1/11,3.06207
1/1/12,3.00877
2/1/12,2.89818
3/1/12,2.58288
4/1/12,2.27316
5/1/12,1.73794
6/1/12,1.65387
7/1/12,1.41751
8/1/12,1.68593
9/1/12,1.94972
10/1/12,2.15568
11/1/12,1.79602
12/1/12,1.7595
1/1/13,1.68406
2/1/13,2.01814
3/1/13,1.51875
4/1/13,1.13881
5/1/13,1.39039
6/1/13,1.71579
7/1/13,1.88547
8/1/13,1.53881
9/1/13,1.09473
10/1/13,0.8768
11/1/13,1.23287
12/1/13,1.51284
1/1/14,1.55776
2/1/14,1.12047
3/1/14,1.61269
4/1/14,2.01513
5/1/14,2.16695
6/1/14,2.05898
7/1/14,1.97424
8/1/14,1.7151
9/1/14,1.68405
10/1/14,1.60954
11/1/14,1.23152
12/1/14,0.65312
1/1/15,-0.22993
2/1/15,-0.08703
3/1/15,-0.02203
4/1/15,-0.10403
5/1/15,0.03503
6/1/15,0.17957
7/1/15,0.22569
8/1/15,0.2413
9/1/15,0.00884
10/1/15,0.12762
11/1/15,0.43632
12/1/15,0.63872
1/1/16,1.2375
2/1/16,0.84728
3/1/16,0.89162
4/1/16,1.17263
5/1/16,1.07848
6/1/16,1.07929
7/1/16,0.86836
8/1/16,1.05532
9/1/16,1.54864
10/1/16,1.68592
11/1/16,1.68433
12/1/16,2.0508
1/1/17,2.51039
2/1/17,2.81036
3/1/17,2.4412
4/1/17,2.17622
5/1/17,1.85634
6/1/17,1.64057
7/1/17,1.72511
8/1/17,1.92812
9/1/17,2.18057
10/1/17,2.02076
11/1/17,2.17249
12/1/17,2.12993
1/1/18,2.15132
2/1/18,2.26347
3/1/18,2.33095
4/1/18,2.471
5/1/18,2.78192
6/1/18,2.80755
7/1/18,2.85412
8/1/18,2.64292
9/1/18,2.33206
10/1/18,2.49203
11/1/18,2.14733
12/1/18,2.00238
1/1/19,1.55068
2/1/19,1.52006
3/1/19,1.85314
4/1/19,1.99179
5/1/19,1.79352
6/1/19,1.64968
7/1/19,1.77976
8/1/19,1.74678
9/1/19,1.71662
10/1/19,1.76918
11/1/19,2.0622
12/1/19,2.31399
1/1/20,2.50042
2/1/20,2.33932
3/1/20,1.54287
4/1/20,0.3452
5/1/20,0.22641
6/1/20,0.71602
7/1/20,1.01414
8/1/20,1.30907
9/1/20,1.37148
10/1/20,1.18253
11/1/20,1.16756
12/1/20,1.32204
1/1/21,1.39478
2/1/21,1.69336
3/1/21,2.63052
4/1/21,4.13055
5/1/21,4.91503
6/1/21,5.28161
7/1/21,5.22151
8/1/21,5.18829
9/1/21,5.38363
10/1/21,6.23775
11/1/21,6.86239
12/1/21,7.19446
1/1/22,7.59528
2/1/22,7.95485
3/1/22,8.51522
4/1/22,8.22777
5/1/22,8.50233
6/1/22,8.93299
7/1/22,8.41318
8/1/22,8.22736
9/1/22,8.21485
10/1/22,7.76249
11/1/22,7.13535
12/1/22,6.44494
1/1/23,6.34716
2/1/23,5.98644
3/1/23,4.98692
4/1/23,4.95719
5/1/23,4.12884
