date,gdp
1/1/09,-3.28239
4/1/09,-3.9955
7/1/09,-3.13768
10/1/09,0.08166
1/1/10,1.76846
4/1/10,2.92747
7/1/10,3.34919
10/1/10,2.78845
1/1/11,2.03061
4/1/11,1.73791
7/1/11,0.91822
10/1/11,1.52269
1/1/12,2.60025
4/1/12,2.37382
7/1/12,2.59262
10/1/12,1.56606
1/1/13,1.6163
4/1/13,1.29617
7/1/13,1.91984
10/1/13,2.53205
1/1/14,1.29406
4/1/14,2.452
7/1/14,2.83146
10/1/14,2.56376
1/1/15,3.7612
4/1/15,3.03985
7/1/15,2.18267
10/1/15,1.87468
1/1/16,1.64819
4/1/16,1.36763
7/1/16,1.64826
10/1/16,2.00418
1/1/17,1.84242
4/1/17,2.04691
