,CPI,PPI,GDP,Unemployment Rate,Retail sales,Building Permits,Existing home sales,New home sales,PCE Inflation,Manufacturing PMI,Non Manufcaturing PMI
1994-02-04,146.7,119.3,7115.652,6.6,188074.0,1269.0,,686.0,72.173,56.5,
1994-03-22,147.1,119.7,7115.652,6.5,191579.0,1342.0,,747.0,72.42,56.9,
1994-05-17,147.5,119.9,7246.931,6.1,190929.0,1396.0,,691.0,72.69,58.2,
1994-07-06,148.4,120.7,7331.075,6.1,193743.0,1335.0,,628.0,73.004,58.5,
1994-08-16,149.0,121.2,7331.075,6.0,196163.0,1377.0,,656.0,73.086,58.0,
1994-09-27,149.3,121.0,7331.075,5.9,197765.0,1412.0,,677.0,73.197,59.0,
1994-11-15,149.8,121.5,7455.288,5.6,199731.0,1340.0,,646.0,73.503,59.2,
1994-12-20,150.1,121.9,7455.288,5.5,200702.0,1396.0,,629.0,73.528,56.1,
1995-02-01,150.9,123.5,7522.289,5.4,198399.0,1254.0,,559.0,73.831,55.1,
1995-03-28,151.2,123.9,7522.289,5.4,200247.0,1226.0,,616.0,74.013,52.1,
1995-05-23,152.1,124.9,7580.997,5.6,202986.0,1271.0,,674.0,74.311,46.7,
1995-07-06,152.6,125.3,7683.125,5.7,204920.0,1354.0,,765.0,74.493,50.7,
1995-08-22,152.9,125.1,7683.125,5.7,206521.0,1386.0,,701.0,74.671,47.1,
1995-09-26,153.1,125.2,7683.125,5.6,207006.0,1421.0,,678.0,74.77,48.1,
1995-11-15,153.7,125.4,7772.586,5.6,208664.0,1430.0,,664.0,75.0,45.9,
1995-12-19,153.9,125.7,7772.586,5.6,210399.0,1442.0,,709.0,75.105,46.2,
1996-01-30,154.7,126.3,7868.468,5.6,208699.0,1387.0,,714.0,75.19,45.5,
1996-03-26,155.5,126.4,7868.468,5.5,213891.0,1437.0,,721.0,75.462,46.9,
1996-05-21,156.4,128.1,8032.84,5.6,216299.0,1457.0,,746.0,75.696,49.1,
1996-07-02,157.0,128.0,8131.408,5.5,216332.0,1450.0,,770.0,75.897,49.7,
1996-08-20,157.2,128.3,8131.408,5.1,216358.0,1413.0,,826.0,75.962,51.6,
1996-09-24,157.7,128.2,8131.408,5.2,219256.0,1392.0,,770.0,76.192,51.1,
1996-11-13,158.7,128.2,8259.771,5.4,220963.0,1412.0,,771.0,76.473,53.0,
1996-12-17,159.1,129.1,8259.771,5.4,221991.0,1411.0,,805.0,76.503,55.2,
1997-02-05,159.7,128.5,8362.655,5.2,225422.0,1445.0,,801.0,76.741,53.1,
1997-03-25,159.8,127.3,8362.655,5.2,226161.0,1436.0,,831.0,76.925,53.8,
1997-05-20,159.9,127.4,8518.825,4.9,222929.0,1414.0,,760.0,77.131,56.1,
1997-07-02,160.4,126.9,8662.823,4.9,228703.0,1440.0,,805.0,77.297,57.7,
1997-08-19,160.8,127.2,8662.823,4.8,229309.0,1449.0,,815.0,77.267,56.3,
1997-09-30,161.2,127.5,8662.823,4.9,230312.0,1494.0,,840.0,77.427,53.9,
1997-11-12,161.7,127.9,8765.907,4.6,230440.0,1469.0,,864.0,77.568,55.7,
1997-12-16,161.8,126.8,8765.907,4.7,231181.0,1456.0,,793.0,77.613,54.5,
1998-02-04,162.0,125.0,8866.48,4.6,231684.0,1647.0,,866.0,77.798,52.9,
1998-03-31,162.0,124.7,8866.48,4.7,233083.0,1605.0,,836.0,77.881,52.9,
1998-05-19,162.6,125.1,8969.699,4.4,237075.0,1554.0,,887.0,78.1,50.9,
1998-07-01,163.2,124.9,9121.097,4.5,237411.0,1610.0,,876.0,78.222,49.2,
1998-08-18,163.4,124.2,9121.097,4.5,236379.0,1654.0,,846.0,78.375,49.3,
1998-09-29,163.5,123.8,9121.097,4.6,238550.0,1577.0,,864.0,78.361,48.7,
1998-11-17,164.1,123.6,9293.991,4.4,244291.0,1672.0,,995.0,78.528,48.2,
1998-12-22,164.4,122.8,9293.991,4.4,246530.0,1742.0,,949.0,78.663,46.8,
1999-02-03,164.7,122.3,9411.682,4.4,249520.0,1720.0,,848.0,78.749,51.7,
1999-03-30,164.8,122.6,9411.682,4.2,250667.0,1665.0,,863.0,78.773,52.4,
1999-05-18,166.0,124.7,9526.21,4.2,254735.0,1640.0,,888.0,79.051,54.3,
1999-06-30,166.0,125.2,9526.21,4.3,255449.0,1702.0,,923.0,79.092,55.8,
1999-08-24,167.1,126.9,9686.626,4.2,260230.0,1671.0,,893.0,79.273,54.8,
1999-10-05,168.1,127.7,9900.169,4.1,261818.0,1649.0,,872.0,79.619,57.2,
1999-11-16,168.4,128.3,9900.169,4.1,264965.0,1672.0,,863.0,79.695,58.1,
1999-12-21,168.8,127.8,9900.169,4.0,269863.0,1683.0,,873.0,79.796,57.8,
2000-02-02,170.0,129.8,10002.179,4.1,272020.0,1692.0,,856.0,80.106,55.8,
2000-03-21,171.0,130.8,10002.179,4.0,275192.0,1651.0,,900.0,80.27,54.9,
2000-05-16,171.2,131.6,10247.72,4.0,271394.0,1543.0,,857.0,80.409,53.2,
2000-06-28,172.2,133.8,10247.72,4.0,273422.0,1572.0,,793.0,80.47,51.4,
2000-08-22,172.7,132.9,10318.165,4.1,272918.0,1552.0,,848.0,80.757,49.9,
2000-10-03,173.9,135.4,10435.744,3.9,276927.0,1577.0,,933.0,81.067,48.7,
2000-11-15,174.2,135.0,10435.744,3.9,276029.0,1614.0,,880.0,81.21,48.5,
2000-12-19,174.6,136.2,10435.744,3.9,275791.0,1543.0,,983.0,81.289,43.9,
2001-01-31,175.6,140.0,10470.231,4.2,278834.0,1699.0,,936.0,81.592,42.3,
2001-03-20,176.1,135.9,10470.231,4.3,276450.0,1659.0,,939.0,81.821,43.1,
2001-05-15,177.3,136.8,10599.0,4.3,281496.0,1665.0,,885.0,81.97,41.3,
2001-06-27,177.7,135.5,10599.0,4.5,280401.0,1626.0,,882.0,82.154,43.2,
2001-08-21,177.4,133.4,10598.02,4.9,281413.0,1615.0,,866.0,82.406,46.3,
2001-10-02,177.6,130.3,10660.465,5.3,294540.0,1566.0,,871.0,82.516,40.8,
2001-11-06,177.5,129.8,10660.465,5.5,287111.0,1651.0,,924.0,82.683,44.1,
2001-12-11,177.4,128.1,10660.465,5.7,283705.0,1680.0,,979.0,82.702,45.3,
2002-01-30,177.7,128.5,10783.5,5.7,283508.0,1665.0,,880.0,82.75,47.5,
2002-03-19,178.5,129.8,10783.5,5.7,284262.0,1691.0,,923.0,83.006,52.4,
2002-05-07,179.5,130.8,10887.46,5.8,284951.0,1716.0,,978.0,83.331,53.1,
2002-06-26,179.6,130.9,10887.46,5.8,287372.0,1758.0,,957.0,83.463,53.6,
2002-08-13,180.5,131.5,10984.04,5.7,292650.0,1695.0,,1014.0,83.797,50.3,
2002-09-24,180.8,132.3,10984.04,5.7,288410.0,1803.0,,1044.0,83.934,50.5,
2002-11-06,181.5,133.1,11061.433,5.9,291484.0,1771.0,,1024.0,84.087,48.5,
2002-12-10,181.8,132.9,11061.433,6.0,293947.0,1896.0,,1048.0,84.165,51.6,
2003-01-29,182.6,135.3,11174.129,5.8,295248.0,1808.0,,999.0,84.223,51.3,
2003-03-18,183.9,141.2,11174.129,5.9,296325.0,1757.0,,999.0,84.474,46.3,
2003-05-06,182.9,136.7,11312.766,6.1,296410.0,1835.0,,1078.0,84.69,49.0,
2003-06-25,183.1,138.0,11312.766,6.3,299626.0,1875.0,,1193.0,84.738,49.0,
2003-08-12,184.5,138.0,11566.669,6.1,307809.0,1966.0,,1206.0,85.045,53.2,
2003-09-15,185.1,138.5,11566.669,6.1,305933.0,1961.0,,1131.0,85.164,52.4,
2003-09-16,185.1,138.5,11566.669,6.1,305933.0,1961.0,,1131.0,85.164,52.4,
2003-10-28,184.9,139.3,11772.234,6.0,304809.0,2012.0,,1144.0,85.32,55.2,
2003-12-09,185.5,139.5,11772.234,5.7,307407.0,1987.0,,1129.0,85.544,60.1,
